[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:13:09] CPU TRAINING STARTED
[2026-09-17 18:13:09] Python executable: E:\MMdetection\.venv\Scripts\python.exe
[2026-09-17 18:13:09] Config file: E:\MMDetection_2\configs\packdet_rtmdet_ins.py
[2026-09-17 18:13:09] Work directory: E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] Training command: E:\MMdetection\.venv\Scripts\python.exe E:\MMDetection_2\mmdetection\tools\train.py E:\MMDetection_2\configs\packdet_rtmdet_ins.py --work-dir E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:15:53] Elapsed: 2.73 min | System CPU: 63.1% | System RAM: 80.2% (12.61/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1450.52 MB
[2026-09-17 18:15:55] Elapsed: 2.77 min | System CPU: 63.4% | System RAM: 80.1% (12.61/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1450.37 MB
[2026-09-17 18:15:57] Elapsed: 2.80 min | System CPU: 58.2% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.14 MB
[2026-09-17 18:15:59] Elapsed: 2.83 min | System CPU: 51.9% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1449.77 MB
[2026-09-17 18:16:01] Elapsed: 2.87 min | System CPU: 53.6% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1448.21 MB
[2026-09-17 18:16:03] Elapsed: 2.90 min | System CPU: 51.9% | System RAM: 79.9% (12.58/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1448.23 MB
[2026-09-17 18:16:05] Elapsed: 2.93 min | System CPU: 50.9% | System RAM: 79.8% (12.56/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1449.63 MB
[2026-09-17 18:16:07] Elapsed: 2.97 min | System CPU: 54.1% | System RAM: 80.0% (12.58/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1450.51 MB
[2026-09-17 18:16:09] Elapsed: 3.00 min | System CPU: 54.7% | System RAM: 80.0% (12.58/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.20 MB
[2026-09-17 18:16:11] Elapsed: 3.03 min | System CPU: 53.4% | System RAM: 79.9% (12.57/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.69 MB
[2026-09-17 18:16:13] Elapsed: 3.07 min | System CPU: 54.0% | System RAM: 79.9% (12.58/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1450.33 MB
[2026-09-17 18:16:15] Elapsed: 3.10 min | System CPU: 55.6% | System RAM: 80.0% (12.58/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.26 MB
[2026-09-17 18:16:17] Elapsed: 3.13 min | System CPU: 58.0% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.27 MB
[2026-09-17 18:16:19] Elapsed: 3.17 min | System CPU: 52.6% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.41 MB
[2026-09-17 18:16:21] Elapsed: 3.20 min | System CPU: 55.4% | System RAM: 80.2% (12.62/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1450.30 MB
[2026-09-17 18:16:23] Elapsed: 3.23 min | System CPU: 55.6% | System RAM: 80.3% (12.63/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1464.73 MB
[2026-09-17 18:17:48] ================================================================================
[2026-09-17 18:17:48] CPU TRAINING STARTED
[2026-09-17 18:17:48] Python executable: E:\MMdetection\.venv\Scripts\python.exe
[2026-09-17 18:17:48] Config file: E:\MMDetection_2\configs\packdet_rtmdet_ins.py
[2026-09-17 18:17:48] Work directory: E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:17:48] Training command: E:\MMdetection\.venv\Scripts\python.exe E:\MMDetection_2\mmdetection\tools\train.py E:\MMDetection_2\configs\packdet_rtmdet_ins.py --work-dir E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:17:48] ================================================================================
[2026-09-17 18:17:50] Elapsed: 0.03 min | System CPU: 7.2% | System RAM: 73.1% (11.49/15.73 GB) | Training Process CPU: 100.1% | Training Process RAM: 168.25 MB
[2026-09-17 18:17:53] Elapsed: 0.08 min | System CPU: 8.7% | System RAM: 73.9% (11.62/15.73 GB) | Training Process CPU: 99.9% | Training Process RAM: 273.09 MB
[2026-09-17 18:17:56] Elapsed: 0.12 min | System CPU: 22.4% | System RAM: 74.9% (11.79/15.73 GB) | Training Process CPU: 743.0% | Training Process RAM: 376.83 MB
[2026-09-17 18:17:58] Elapsed: 0.17 min | System CPU: 65.3% | System RAM: 80.4% (12.65/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1216.55 MB
[2026-09-17 18:18:01] Elapsed: 0.22 min | System CPU: 66.8% | System RAM: 81.5% (12.83/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1272.43 MB
[2026-09-17 18:18:04] Elapsed: 0.25 min | System CPU: 49.1% | System RAM: 82.2% (12.93/15.73 GB) | Training Process CPU: 792.8% | Training Process RAM: 1308.16 MB
[2026-09-17 18:18:06] Elapsed: 0.30 min | System CPU: 56.1% | System RAM: 83.5% (13.13/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1602.95 MB
[2026-09-17 18:18:09] Elapsed: 0.35 min | System CPU: 50.9% | System RAM: 81.8% (12.87/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1391.05 MB
[2026-09-17 18:18:12] Elapsed: 0.38 min | System CPU: 52.9% | System RAM: 82.3% (12.95/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1331.90 MB
[2026-09-17 18:18:14] Elapsed: 0.43 min | System CPU: 52.1% | System RAM: 82.4% (12.97/15.73 GB) | Training Process CPU: 738.9% | Training Process RAM: 1345.03 MB
[2026-09-17 18:18:17] Elapsed: 0.48 min | System CPU: 51.9% | System RAM: 82.5% (12.98/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1351.98 MB
[2026-09-17 18:18:19] Elapsed: 0.52 min | System CPU: 51.4% | System RAM: 82.3% (12.95/15.73 GB) | Training Process CPU: 799.1% | Training Process RAM: 1357.07 MB
[2026-09-17 18:18:22] Elapsed: 0.57 min | System CPU: 52.7% | System RAM: 82.2% (12.93/15.73 GB) | Training Process CPU: 802.8% | Training Process RAM: 1366.60 MB
[2026-09-17 18:18:25] Elapsed: 0.62 min | System CPU: 52.7% | System RAM: 82.1% (12.91/15.73 GB) | Training Process CPU: 799.1% | Training Process RAM: 1370.32 MB
[2026-09-17 18:18:27] Elapsed: 0.65 min | System CPU: 53.3% | System RAM: 82.1% (12.91/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1378.45 MB
[2026-09-17 18:18:30] Elapsed: 0.70 min | System CPU: 54.1% | System RAM: 82.1% (12.91/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1380.05 MB
[2026-09-17 18:18:33] Elapsed: 0.75 min | System CPU: 50.0% | System RAM: 82.1% (12.92/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1388.12 MB
[2026-09-17 18:18:35] Elapsed: 0.78 min | System CPU: 51.6% | System RAM: 82.2% (12.92/15.73 GB) | Training Process CPU: 792.8% | Training Process RAM: 1395.86 MB
[2026-09-17 18:18:38] Elapsed: 0.83 min | System CPU: 52.4% | System RAM: 83.5% (13.13/15.73 GB) | Training Process CPU: 799.1% | Training Process RAM: 1611.14 MB
[2026-09-17 18:18:41] Elapsed: 0.88 min | System CPU: 52.1% | System RAM: 82.2% (12.94/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1413.38 MB
[2026-09-17 18:18:43] Elapsed: 0.92 min | System CPU: 51.0% | System RAM: 82.3% (12.95/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1418.39 MB
[2026-09-17 18:18:46] Elapsed: 0.97 min | System CPU: 52.9% | System RAM: 82.4% (12.96/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1425.84 MB
[2026-09-17 18:18:49] Elapsed: 1.00 min | System CPU: 51.2% | System RAM: 83.5% (13.14/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1432.61 MB
[2026-09-17 18:18:51] Elapsed: 1.05 min | System CPU: 51.4% | System RAM: 82.3% (12.95/15.73 GB) | Training Process CPU: 799.1% | Training Process RAM: 1490.93 MB
[2026-09-17 18:18:54] Elapsed: 1.10 min | System CPU: 50.0% | System RAM: 82.4% (12.96/15.73 GB) | Training Process CPU: 802.8% | Training Process RAM: 1435.51 MB
[2026-09-17 18:18:57] Elapsed: 1.13 min | System CPU: 51.2% | System RAM: 82.2% (12.93/15.73 GB) | Training Process CPU: 796.6% | Training Process RAM: 1422.04 MB
[2026-09-17 18:18:59] Elapsed: 1.18 min | System CPU: 49.8% | System RAM: 82.2% (12.93/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1422.66 MB
[2026-09-17 18:19:02] Elapsed: 1.23 min | System CPU: 51.9% | System RAM: 82.3% (12.95/15.73 GB) | Training Process CPU: 799.1% | Training Process RAM: 1430.34 MB
[2026-09-17 18:19:05] Elapsed: 1.27 min | System CPU: 50.2% | System RAM: 82.3% (12.95/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1431.74 MB
[2026-09-17 18:19:07] Elapsed: 1.32 min | System CPU: 52.3% | System RAM: 82.4% (12.96/15.73 GB) | Training Process CPU: 796.6% | Training Process RAM: 1430.09 MB
[2026-09-17 18:19:10] Elapsed: 1.37 min | System CPU: 50.7% | System RAM: 82.8% (13.02/15.73 GB) | Training Process CPU: 792.8% | Training Process RAM: 1433.06 MB
[2026-09-17 18:19:13] Elapsed: 1.40 min | System CPU: 52.2% | System RAM: 82.4% (12.96/15.73 GB) | Training Process CPU: 800.5% | Training Process RAM: 1506.74 MB
[2026-09-17 18:19:15] Elapsed: 1.45 min | System CPU: 50.0% | System RAM: 82.3% (12.94/15.73 GB) | Training Process CPU: 792.8% | Training Process RAM: 1535.82 MB
